pharmacy_name,city,phone,website,email
NELSON REMEDY'SRX,Nelson,(250) 352-0022,https://nelsonremedys.ca/,nelsonremedys@gmail.com
NEW ERA PHARMACY,White Rock,(778) 357-3474,https://newerapharmacy.ca/,info@newerapharmacy.ca
NORTHMOUNT PHARMACY LTD.,North Vancouver,(604) 985-8241,https://www.northmountpharmacy.ca/,info@northmountpharmacy.ca
NORTHSHORE DRUGSTORE,North Vancouver,(604) 770-3299,https://northshoredrugstore.com/,pharmexenco@gmail.com
NOVARA WELLNESS PHARMACY,Vancouver,(604) 875-6625,https://novarapharmacy.ca/,novarapharmling@gmail.com
OASES HEALTH PHARMACY #1,Vancouver,(604) 254-4633,https://oaseshealth.ca/,info@oaseshealth.ca
OKANAGAN PHARMACY,Peachland,(250) 767-2911,https://www.okanaganpharmacy.ca/,info@okanaganpharmacy.ca
OMNIA SPECIALTY PHARMACY,Abbotsford,(604) 776-3377,https://omniarx.ca/locations/abbotsford/,gardenpark@omniarx.ca
OPTIMA PHARMACY,Surrey,(604) 593-6113,https://optimapharmacy.ca/,info@optimapharmacy.ca
OVAL INTEGRATIVE PHARMACY,Richmond,(604) 838-9123,https://www.ovalpharmacy.ca/,info@ovalpharmacy.ca
OXFORD PHARMACY,Port Coquitlam,(604) 945-9591,https://oxfordpharmacies.ca/,oxfordpharmacyrx@gmail.com
PACIFIC PHARMACY #1,Surrey,(604) 590-0399,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PACIFIC PHARMACY #2,Delta,(778) 578-6900,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PACIFIC PHARMACY #4,White Rock,(604) 232-9557,https://pacificpharmacy.ca,info@pacificpharmacy.ca
PARK WEST PHARMACY,North Vancouver,(236) 551-2260,https://www.parkwestpharmacy.ca,parkwestpharmacyinfo@gmail.com
PARTNERSHIP RX,Surrey,(888) 588-2605,https://www.partnershiprx.com/,support@partnershiprx.com
PEACE PHARMACY,Fort St. John,(250) 785-1140,https://peacepharmacy.ca/,peacepharmacy@pharmachoice.ca
PEACHLAND PHARMACY,Peachland,(250) 767-2611,https://www.peachlandpharmacy.com/,peachlandpharmacy@shaw.ca
PEERCONNECT PHARMACY,Richmond,(604) 207-2222,https://peerconnectpharmacy.ca/,peerconnectpharmacy@gmail.com
PHARMACISTS CLINIC,Vancouver,(604) 827-2584,https://pharmsci.ubc.ca/pharmacists-clinic,pharmacists.clinic@ubc.ca
PHARMACY APOTEKA,Burnaby,(604) 526-7778,https://apotekapharmacy.care/,apotekapharmacy@gmail.com
PHARMALIFE PHARMACY,North Vancouver,(778) 340-1800,https://www.pharmalifepharmacy.com/,info@PharmalifePharmacy.com
PHARMAPLUS RX,Vancouver,(778) 331-3847,https://www.pharmaplusrx.ca/,info@pharmaplusrx.ca
PILL4ME,Chilliwack,604-705-3644,https://www.pill4.me/,hello@pill4.me
PILLARS PHARMACY,Penticton,(250) 488-9360,https://pillarsrx.ca/,info@PillarsRx.ca
PILLOSOPHY PHARMACY,Vancouver,(236) 521-2262,https://pillosophypharmacy.ca,info@pillosophypharmacy.ca
PILLWAY,Delta,1 (833) 745-5929,https://www.pillway.com,hello@pillway.com
PINETREE PHARMACY,Coquitlam,(604) 474-4977,https://pinetreepharmacy.com,pharmacist@pinetreepharmacy.com
PINNACLE PHARMACY,Nanaimo,(250) 585-1980,https://pinnaclepharmacy.ca,deryn@pinnaclepharmacy.ca
PIVOT RX,Vernon,(250) 503-1344,https://www.pivotrx.ca,info@pivotrx.ca
PIVOT RX 2,Kamloops,(250) 376-0358,https://www.pivotrx.ca,info@pivotrx.ca
PIX PHARMACY,Surrey,(888) 244-8998,https://pixpharmacy.com,support@pixpharmacy.com
PLANET HEALTH PHARMACY,Abbotsford,(604) 743-1695,https://planethealthpharmacy.ca,planethealthpharmacy24@gmail.com
PLATINUM CARE PHARMACY,Surrey,(604) 385-0188,https://platinumcarepharmacy.com,platinumcarepharmacy@gmail.com
PLITIO,North Vancouver,(778) 279-3901,https://plitio.com,info@plitio.com
POCKETPILLS PHARMACY,Surrey,(855) 950-7225,https://www.pocketpills.com,care@pocketpills.com
PRATT'S COMPOUNDING PHARMACY INC.,Kamloops,(250) 374-7226,https://prattscompoundingpharmacy.com,prattspharmacy@gmail.com
