pharmacy_name,city,phone,website,email
IMPERIAL REMEDY'S RX PHARMACY,Burnaby,(604) 229-2360,https://imperialremedysrx.ca/,info@imperialremedysrx.ca
INDIGICARE MEDICINES LTD.,Vancouver,(236) 521-9449,https://www.lnhs.ca/pharmacy,Contact@Lumaindigicare.ca
INDIGO PHARMACY MID-MAIN,Vancouver,(604) 423-2882,https://indigopharmacy.ca/,midmain@indigopharmacy.ca
INGRAM CLINIC PHARMACY,Duncan,(250) 746-5191,https://ingrampharmacy.ca/,ingrampharmacyonline@gmail.com
INLET PHARMACY LTD.,Port Moody,(604) 937-2818,https://www.inletpharmacy.ca/,info@inletpharmacy.ca
ISLAND PHARMACY,Gabriola Island,(250) 247-8310,https://islandpharmacy.ca/island-pharmacy-gabriola-island-bc/,gabriola@islandpharmacy.ca
ISLAND PHARMACY # 1,Lake Cowichan,(250) 749-3141,https://islandpharmacy.ca/island-pharmacy-southshore-lake-cowichan-bc/,lakecowichan@islandpharmacy.ca
ISLAND PHARMACY # 2,Lake Cowichan,(250) 749-0149,https://islandpharmacy.ca/island-pharmacy-village-lake-cowichan-bc/,village@islandpharmacy.ca
ISLAND PHARMACY # 3,Duncan,(250) 746-7494,https://islandpharmacy.ca/island-pharmacy-festubert-duncan-bc/,festubert@islandpharmacy.ca
ISLAND PHARMACY # 4,Duncan,(250) 746-4680,https://islandpharmacy.ca/island-pharmacy-kenneth-duncan-bc/,kenneth@islandpharmacy.ca
ISLAND PHARMACY # 6,Cobble Hill,(250) 743-1448,https://islandpharmacy.ca/island-pharmacy-valleyview-cobble-hill-bc/,valleyview@islandpharmacy.ca
ISLAND PHARMACY # 7,Shawnigan Lake,(250) 743-6977,https://islandpharmacy.ca/island-pharmacy-shawnigan-lake-shawnigan-lake-bc/,shawniganlake@islandpharmacy.ca
ISLAND PHARMACY # 8,Mill Bay,(250) 743-4421,https://islandpharmacy.ca/island-pharmacy-mill-bay-mill-bay-bc/,millbay@islandpharmacy.ca
ISLAND PHARMACY #10,Victoria,(250) 881-8887,https://islandpharmacy.ca/island-pharmacy-view-royal-view-royal-bc/,viewroyal@islandpharmacy.ca
ISLANDCARE PHARMACY,Courtenay,(250) 871-9090,https://islandcarepharmacy.ca/,info@islandcarepharmacy.ca
JC PHARMACY,Victoria,(250) 590-9080,https://jcpharmacy.ca/,info@jcpharmacy.ca
JC PHARMACY - 02,Victoria,(250) 940-7466,https://jcpharmacy.ca/,jc2@jcpharmacy.ca
JUNIPER PHARMACY,Kelowna,(250) 762-7306,https://juniperrx.ca/,info@juniperrx.ca
KAMA HEALTH PHARMACY,Surrey,1-888-533-9842,https://kamahealth.ca/,info@kamahealth.ca
KERRISDALE MEDICINE CENTRE PHARMACY,Vancouver,(604) 261-0333,https://www.kerrisdalepharmacy.com/,info@kerrisdalepharmacy.com
KIPP-MALLERY LANDMARK PHARMACY,Kamloops,(236) 425-0025,https://kippmallery.ca/,info@kippmallery.ca
KIPP-MALLERY PHARMACY,Kamloops,(250) 372-2531,https://kippmallery.ca/,info@kippmallery.ca
KIWI PHARMACY & WELLNESS,Kelowna,(778) 940-1950,https://www.kiwihealth.ca/,pharmacy@kiwihealth.ca
KNIGHTS PHARMACY,Penticton,(250) 492-8080,https://www.knightspharmacy.ca/,info@knightspharmacy.ca
KNIGHTS PHARMACY KELOWNA,Kelowna,(778) 940-4222,https://www.knightspharmacy.ca/,kelowna@knightspharmacy.ca
KRIPPS HEALTHCARE RX,Vancouver,(604) 687-2564,https://krippspharmacy.com/,altermed@portal.ca
LAFARGE PHARMACY,Coquitlam,(604) 474-0769,https://lafargepharmacy.ca/,lafargepharmacy@gmail.com
LAKESIDE MEDICINE CENTRE,Kelowna,(250) 860-3100,https://www.lakesidepharmacy.ca/,rx@lakesidepharmacy.ca
LALLICARE PHARMACY,Victoria,(250) 386-5100,https://lallicare.ca/,sukhi@lallicare.ca
LANGLEY TOWNSHIP PHARMACY & COMPOUNDING,Langley,(604) 532-2176,https://www.townshippharmacy.ca/,pharmacist@townshippharmacy.ca
LAUREL PRESCRIPTIONS,Vancouver,(604) 873-5511,https://laurelprescriptions.com/,info@laurelprescriptions.com
LIFECARE PHARMACY,Coquitlam,(604) 937-5413,https://lifecarerx.ca,info@lifecarerx.ca
LIFECARE PHARMACY #2,New Westminster,(604) 515-0413,https://lifecarerx.ca,info@lifecarerx.ca
LIFECONNECT PHARMACY,Surrey,(604) 372-0912,https://www.lifeconnectpharmacy.com,lifeconnectpharmacy@gmail.com
LIFECONNECT PHARMACY #2,Surrey,(604) 245-4050,https://www.lifeconnectpharmacy.com,lifeconnectrx@gmail.com
LIFECONNECT PHARMACY #3,Surrey,(778) 366-2993,https://www.lifeconnectpharmacy.com,lifeconnectpharmacy3@gmail.com
LINCOLN PHARMACY & COQUITLAM TRAVEL CLINIC,Coquitlam,(604) 464-1033,https://www.lincolnpharmacy.ca,LincolnPharmacyBC@gmail.com
