pharmacy_name,city,phone,website,email
FORT ROYAL PHARMACY,Victoria,(250) 590-3707,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY COLWOOD INC.,Victoria,(250) 474-0605,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY HILLSIDE INC.,Victoria,(778) 406-2022,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ROYAL PHARMACY OAK BAY,Victoria,(250) 590-9217,https://www.fortroyalpharmacy.ca/,info@fortroyalpharmacy.ca
FORT ST. JOHN PHARMACY AND WELLNESS CENTRE,Fort St. John,(250) 785-3234,https://www.fsjpharmacy.com/,fsjpharm@teampractice.ca
FRASER HEIGHTS PHARMACY LTD.,Surrey,(604) 930-9544,https://www.fraserheightspharmacy.ca/,info@fraserheightspharmacy.ca
FRASERGROVE PHARMACY,Aldergrove,(604) 381-5981,https://frasergrovepharmacy.com/,frasergrovepharmacy@gmail.com
FRASERWAY MEDICINE CENTRE,Abbotsford,(604) 504-2022,https://www.fraserwaypharmacy.com,rx@fraserwaypharmacy.com
FRENCH CREEK PHARMACY,Parksville,(250) 586-6212,https://www.frenchcreekpharmacy.ca,frenchcreekpharmacy@gmail.com
GARIBALDI PHARMACY,Squamish,(604) 848-7059,https://garibaldipharmacy.com/,pharmacist@garibaldipharmacy.com
GILMORE PHARMACY,Burnaby,(604) 568-8383,https://gilmorepharmacy.ca/,info@gilmorepharmacy.ca
GLEN PHARMACY,Coquitlam,(604) 944-5500,https://www.glenpharmacy.ca/,glenpharmacy@gmail.com
GORDON HEAD PHARMACY,Victoria,(250) 590-0557,https://www.gordonheadpharmacy.ca/,pharmacy1660@gmail.com
GRAY'S COMPOUNDING PHARMACY,Kimberley,(250) 427-0038,https://grayspharmacy.ca/,pharmacist@grayspharmacy.ca
GREEN PHARMACY,Coquitlam,(236) 607-0018,https://onemedicalclinic.com/pharmacy/,bcgreenpharmacy@gmail.com
GROVE PHARMACY,Langley,(778) 298-1000,https://www.grovepharmacylangley.com/,rx@grovepharmacylangley.com
H&J FAMILY PHARMACY,Langford,(250) 242-2323,https://hjpharmacy.ca/,hello@hjpharmacy.ca
HAFEZ PHARMACY AND TRAVEL CLINIC,Abbotsford,(604) 852-8355,https://hafezpharmacy.ca/,Info@hafezpharmacy.ca
HARBOURVIEW DRUGSTORE,Ucluelet,(250) 726-2733,https://www.harbourviewdrugstore.com/,harbourviewdrugstore@gmail.com
HARVEST DRIVE PHARMACY,Delta,(604) 946-5220,https://www.harvestdrivepharmacy.ca/,harvestdrivepharmacy@gmail.com
HEALING PHARMACY,Burnaby,(604) 420-0756,https://www.healingpharmacy.net,healingpharmacy@outlook.com
HEALING PHARMACY #2,Burnaby,(236) 453-1186,https://www.healingpharmacy.net,healingpharmacy@outlook.com
HEALTHRX PHARMACY,North Vancouver,(604) 770-1609,https://www.healthrxpharmacy.ca,healthrx.pharmacy@yahoo.com
HELLO PHARMACY #3301,Vancouver,(778) 606-7873,https://hellopharmacy.ca/,HelloRX3301@hellopharmacy.ca
HELLO PHARMACY #3302,Merritt,(236) 575-2273,https://hellopharmacy.ca/,HelloRX3302@hellopharmacy.ca
HERITAGE PARK PHARMACY,Mission,(604) 289-2447,https://www.heritageparkpharmacy.com/,info@heritageparkpharmacy.com
HERITAGE PHARMACY,Chilliwack,(604) 824-5300,https://heritagepharmacy.ca/,pharmacist@heritagepharmacy.ca
HOGARTH'S CLINIC PHARMACY LTD.,Vernon,(250) 545-3660,https://www.hogarths.ca/,info@hogarths.ca
HOMELINX PHARMACY,Surrey,(604) 503-6470,https://www.homelinxpharmacy.com/,homelinxrx@gmail.com
HUB PHARMACY,Abbotsford,(604) 556-8515,https://hubpharmacy.care/,pharmacy@hubpharmacy.care
IDEAL CARE PHARMACY,Vancouver,(604) 757-1530,https://idealcarepharmacy.ca/,idealcarepharmacy.bc@gmail.com
IMPERIAL NEIGHBOURHOOD PHARMACY,Burnaby,(604) 428-9647,https://www.impharmacy.ca/,imneighbourpharm@gmail.com
