pharmacy_name,city,phone,website,email
SOUTH POINT PHARMACY & MEDICAL CLINIC,Surrey,(604) 305-5447,https://www.southpointpharmacy.ca/,pharmacist@southpointpharmacy.ca
SQUAMISH PHARMACY,Squamish,(604) 390-2004,https://squamishpharmacy.com/,squamishpharmacy@gmail.com
ST GEORGES PHARMACY,North Vancouver,(604) 988-7199,https://stgeorgespharmacy.ca/,info@stgeorgespharmacy.ca
STERLINGRX PHARMACY,Vernon,(778) 475-7600,https://www.sterlingrx.ca/,info@sterlingrx.ca
STS PAIN PHARMACY,Victoria,(778) 433-7246,https://www.stspain.com/,info@stsrx.com
SULLIVAN PHARMACY,Surrey,(778) 593-0052,https://www.sullivan-pharmacy.com/,pharmacysullivan@gmail.com
SUN PEAKS PHARMACY,Sun Peaks,778-760-4179,https://www.sunpeakspharmacy.com/,pharmacy@peaksrx.ca
SUPER GROCER AND PHARMACY,Richmond,(604) 274-7878,https://supergrocer.ca/,supergrocerpharmacy@gmail.com
SURLANG MEDICINE CENTRE PHARMACY,Surrey,(604) 533-1041,https://surlangpharmacy.ca/,info@surlangpharmacy.ca
TABLET PHARMACY,Parksville,(250) 947-9929,https://www.tabletpharmacy.ca/,contact@tabletpharmacy.ca
TABLET PHARMACY #3,Nanaimo,(250) 933-0093,https://www.tabletpharmacy.ca/,contact03@tabletpharmacy.ca
TABLET PHARMACY QUALICUM,Qualicum Beach,(250) 947-1230,https://www.tabletpharmacy.ca/,contactqb@tabletpharmacy.ca
THE LOCAL PHARMACY,Kelowna,(778) 583-5992,https://localpharmacykelowna.ca,info@localpharmacykelowna.ca
THE VILLAGE PHARMACY,Surrey,(604) 589-0012,https://thevillagerx.ca,gsidhu@thevillagerx.ca
TOWN CENTRE PHARMACY,Coquitlam,(604) 475-8508,https://towncentrepharmacy.ca/,info@towncentrepharmacy.ca
TUMBLER RIDGE PHARMACY,Tumbler Ridge,(250) 242-3333,http://trpharmacy.ca/,trpharmacy@teampractice.ca
TWIG FERTILITY PHARMACY,Vancouver,(778) 743-8944,https://twigfertility.com/locations/vancouver/,hello.bc@twigfertility.com
TWO NICE GUYS PHARMACY,Kelowna,(778) 753-6897,https://twoniceguyspharmacy.ca/,info@twoniceguyspharmacy.ca
UNIVERSITY PHARMACY (1987) LTD.,Vancouver,(604) 224-3202,https://www.universitypharmacy.net,universitypharmacy@telus.net
URBAN CARE PHARMACY,Vancouver,(604) 566-0800,https://urbancarepharmacy.com,rx@urbancarepharmacy.com
VALLEY EVERGREEN PHARMACY,Langley,(604) 534-1332,https://www.valleypharmacy.ypwebsites.ca,valphar@hotmail.com
VALLEY PHARMACY,Chilliwack,(604) 392-2211,https://valleypharmacychilliwack.com,valleypharmacychilliwack@hotmail.com
VICTORIA COMPOUNDING PHARMACY,Victoria,(250) 388-5181,https://www.wecompound.com/,wecompound@telus.net
VITAL HEALTH PHARMACY,Victoria,(778) 433-6060,https://vitalhealthpharmacy.com/,info@vitalhealthpharmacy.com
VITAL HEALTH PHARMACY #2,Kelowna,(778) 738-3195,https://vitalhealthpharmacy.com/kelowna/,kelowna@vitalhealthpharmacy.com
VITAL HEALTH PHARMACY #3,Victoria,(778) 949-8482,https://vitalhealthpharmacy.com/,info@vitalhealthpharmacy.com
VSTAR PHARMACY,Burnaby,(604) 291-1205,https://vstarpharmacy.com/,pharmacist@vstarpharmacy.com
