pharmacy_name,city,phone,website,email
LOCK'S PRESCRIPTION PHARMACY LTD.,Chilliwack,(604) 795-9488,https://www.lockspharmacy.ca/,info@lockspharmacy.ca
LONGEVITY COMPOUNDING PHARMACY,New Westminster,(604) 544-7760,https://longevitypharmacy.ca/,aman@longevitypharmacy.ca
LONSDALE PHARMACY,North Vancouver,(604) 985-1901,https://www.lonsdalepharmacy.com/,pharmacist@lonsdalepharmacy.com
LUMBY I.D.A. PHARMACY,Lumby,(250) 547-2324,https://lumbyidapharmacy.com,lumbyidapharmacy@gmail.com
MACDONALD'S PRESCRIPTIONS #3,Vancouver,(604) 738-0733,https://macdonaldsprescriptions.ca/,pharmacy@macrx3.com
MACDONALD'S PRESCRIPTIONS #4,Vancouver,(604) 734-4311,https://macdonaldsprescriptions.com/,info@macdonaldsprescriptions.com
MACDONALD'S PRESCRIPTIONS LTD.,Vancouver,(604) 872-2662,https://www.macdonaldsrx.com/,pharmacy@macdonaldsrx.com
MACDONALD'S PRESCRIPTIONS RENAL PHARMACY,Vancouver,(604) 872-4200,https://www.macdonaldsrx.com,renal@macdonaldsrx.com
MANSHADI PHARMACY,Kamloops,(250) 372-2223,https://www.manshadipharmacy.com,laura@manshadipharmacy.com
MANSHADI PHARMACY #2,Kamloops,(250) 434-2526,https://www.manshadipharmacy.com,missagh@manshadipharmacy.com
MAPLE MEADOWS PHARMACY,Maple Ridge,(604) 380-4345,https://maplemeadowshealth.ca,Maplemeadowsrx@gmail.com
MARINE DRIVE PHARMACY,North Vancouver,(778) 340-9308,https://mdpharmasave.ca,Info@MDPharmasave.ca
MARKS PHARMACY,Delta,(604) 596-1774,https://www.markspharmacydelta.com/,marksdelta@shaw.ca
MARMAR PHARMACY,Vancouver,(604) 605-0211,https://marmarpharmacy.care/,marmarpharmacy7@gmail.com
MEADOWCURE PHARMACY + COFFEE,Langford,(778) 557-0103,https://www.meadowcurepharmacy.ca/,slava@meadowcurepharmacy.ca
MEDICAL CENTRE PHARMACY,Vancouver,(604) 682-4321,https://denmanmedicalcentre.com/,denmanmedicalcentre@gmail.com
MEDICAL TOWER DRUGS LTD.,Abbotsford,(604) 859-7651,https://www.medicaltowerdrugs.com/,mtdrugs@telus.net
MEDIGLEN PHARMACY,Coquitlam,(778) 285-8811,https://www.mediglenpharmacy.com/,mediglenrx@gmail.com
MEDIMIX PHARMACY,Langley,(778) 366-3530,https://medimixrx.com/,medimixrx@gmail.com
MEDIPHARM PHARMACY,Vancouver,(604) 336-3144,https://medipharmbc.ca/,info@medipharmbc.ca
MEDIS PHARMACY,Port Coquitlam,(604) 944-5544,https://themedispharmacy.ca/,medis.pharmacy@outlook.com
MEDMIX COMPOUNDING PHARMACY,Langley,(778) 366-4554,https://mymedmix.ca/,pharmacy@mymedmix.ca
MEDNOW PHARMACY,Vancouver,(604) 876-6410,https://mednow.ca/,pharmacy-privacy@mednow.ca
MED-X PHARMACY LTD.,Port Coquitlam,(604) 474-3050,https://medxpharmacy.ca/,pharmacist@medxpharmacy.ca
MEDZONE METTRA PHARMACY,Vancouver,(604) 900-9569,https://medzonemettrapharmacy.com/,order@medzonemettrapharmacy.com
METCHOSIN PHARMACY,Victoria,(778) 265-0122,https://www.langfordpharmacy.com/metchosin-pharmacy/,metchosinpharmacy@gmail.com
METROLIFE PHARMACY,Surrey,(604) 951-2011,https://metrolifepharmacy.com/,metrolifepharmacy@gmail.com
METTRA PHARMACY DUNCAN,Duncan,(250) 748-0104,https://www.mymettra.ca/,mymettra@gmail.com
MID-ISLAND PHARMACY,Parksville,(250) 757-0779,https://www.midislandpharmacy.com/,info@midislandpharmacy.com
MIRACLE PRESCRIPTIONS REMEDY'SRX,North Vancouver,(604) 770-2030,https://miracleprescriptions.com/,info@miracleprescriptions.com
MJ'S NATURAL PHARMACY,Vancouver,(604) 323-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MJ'S NATURAL PHARMACY #3,Richmond,(604) 232-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MJ'S NATURAL PHARMACY NO. 2,Vancouver,(604) 324-1293,https://www.mjspharmacy.com/,info@mjspharmacy.com
MONTROSE PHARMACY,Abbotsford,(604) 621-0843,https://montrosepharmacy.ca/,pharmacymontrose@gmail.com
MOUNTAIN & PESTLE PHARMACY,Kimberley,(250) 432-1317,https://www.mountainpestle.com/,info@mountainpestle.com
NANAIMO COMPOUNDING PHARMACY,Nanaimo,(250) 755-6365,https://nanaimocompounding.com/,trdrugsltd@gmail.com
NATURE'S COMPOUNDING PHARMACY,Langley,(604) 888-2895,https://naturescompounding.com/,naturescompounding@gmail.com
